DOCUMENTO SINTÉTICO | Matriz de particularidades organizacionais
source_id=na-company-rules-matrix-v6 | version=6.4
estado=approved | vigência=2026-01-15
extração=structured | formato_origem=XLSX

row_id,entity,base,relationship,topic,rule,owner,status
R0001,NA_NORTE,CENTRO_OESTE,intern,benefit,validar relação e dia elegível; conferir perfil vigência e estado antes de concluir,benefit_owner,active
R0002,NA_SUL,SUL,apprentice,timekeeping,não converter aprovação em processamento; conferir perfil vigência e estado antes de concluir,timekeeping_owner,active
R0003,NA_SERVICOS,NORTE,employee,admission,não receber documento pessoal em chat; conferir perfil vigência e estado antes de concluir,admission_owner,active
R0004,NA_NORTE,SUDESTE,intern,termination,separar cálculo preliminar de fechamento; conferir perfil vigência e estado antes de concluir,termination_owner,active
R0005,NA_SUL,CENTRO_OESTE,apprentice,identity,registrar aprovação e confirmação por sistema; conferir perfil vigência e estado antes de concluir,identity_owner,active
R0006,NA_SERVICOS,SUL,employee,calendar,registrar exceção antes de comunicar mudança; conferir perfil vigência e estado antes de concluir,calendar_owner,active
R0007,NA_NORTE,NORTE,intern,benefit,encaminhar divergência com competência e base; conferir perfil vigência e estado antes de concluir,benefit_owner,active
R0008,NA_SUL,SUDESTE,apprentice,timekeeping,conferir fechamento antes do ajuste; conferir perfil vigência e estado antes de concluir,timekeeping_owner,active
R0009,NA_SERVICOS,CENTRO_OESTE,employee,admission,liberar identidade somente após o evento formal; conferir perfil vigência e estado antes de concluir,admission_owner,active
R0010,NA_NORTE,SUL,intern,termination,exigir decisão formal do responsável; conferir perfil vigência e estado antes de concluir,termination_owner,active
R0011,NA_SUL,NORTE,apprentice,identity,não conceder acesso por texto livre; conferir perfil vigência e estado antes de concluir,identity_owner,active
R0012,NA_SERVICOS,SUDESTE,employee,calendar,usar o calendário publicado da base; conferir perfil vigência e estado antes de concluir,calendar_owner,active
R0013,NA_NORTE,CENTRO_OESTE,intern,benefit,validar relação e dia elegível; conferir perfil vigência e estado antes de concluir,benefit_owner,active
R0014,NA_SUL,SUL,apprentice,timekeeping,não converter aprovação em processamento; conferir perfil vigência e estado antes de concluir,timekeeping_owner,active
R0015,NA_SERVICOS,NORTE,employee,admission,não receber documento pessoal em chat; conferir perfil vigência e estado antes de concluir,admission_owner,active
R0016,NA_NORTE,SUDESTE,intern,termination,separar cálculo preliminar de fechamento; conferir perfil vigência e estado antes de concluir,termination_owner,active
R0017,NA_SUL,CENTRO_OESTE,apprentice,identity,registrar aprovação e confirmação por sistema; conferir perfil vigência e estado antes de concluir,identity_owner,active
R0018,NA_SERVICOS,SUL,employee,calendar,registrar exceção antes de comunicar mudança; conferir perfil vigência e estado antes de concluir,calendar_owner,active
R0019,NA_NORTE,NORTE,intern,benefit,encaminhar divergência com competência e base; conferir perfil vigência e estado antes de concluir,benefit_owner,needs_review
R0020,NA_SUL,SUDESTE,apprentice,timekeeping,conferir fechamento antes do ajuste; conferir perfil vigência e estado antes de concluir,timekeeping_owner,active
R0021,NA_SERVICOS,CENTRO_OESTE,employee,admission,liberar identidade somente após o evento formal; conferir perfil vigência e estado antes de concluir,admission_owner,active
R0022,NA_NORTE,SUL,intern,termination,exigir decisão formal do responsável; conferir perfil vigência e estado antes de concluir,termination_owner,active
R0023,NA_SUL,NORTE,apprentice,identity,não conceder acesso por texto livre; conferir perfil vigência e estado antes de concluir,identity_owner,active
R0024,NA_SERVICOS,SUDESTE,employee,calendar,usar o calendário publicado da base; conferir perfil vigência e estado antes de concluir,calendar_owner,active
R0025,NA_NORTE,CENTRO_OESTE,intern,benefit,validar relação e dia elegível; conferir perfil vigência e estado antes de concluir,benefit_owner,active
R0026,NA_SUL,SUL,apprentice,timekeeping,não converter aprovação em processamento; conferir perfil vigência e estado antes de concluir,timekeeping_owner,active
R0027,NA_SERVICOS,NORTE,employee,admission,não receber documento pessoal em chat; conferir perfil vigência e estado antes de concluir,admission_owner,active
R0028,NA_NORTE,SUDESTE,intern,termination,separar cálculo preliminar de fechamento; conferir perfil vigência e estado antes de concluir,termination_owner,active
R0029,NA_SUL,CENTRO_OESTE,apprentice,identity,registrar aprovação e confirmação por sistema; conferir perfil vigência e estado antes de concluir,identity_owner,active
R0030,NA_SERVICOS,SUL,employee,calendar,registrar exceção antes de comunicar mudança; conferir perfil vigência e estado antes de concluir,calendar_owner,active
R0031,NA_NORTE,NORTE,intern,benefit,encaminhar divergência com competência e base; conferir perfil vigência e estado antes de concluir,benefit_owner,active
R0032,NA_SUL,SUDESTE,apprentice,timekeeping,conferir fechamento antes do ajuste; conferir perfil vigência e estado antes de concluir,timekeeping_owner,active
R0033,NA_SERVICOS,CENTRO_OESTE,employee,admission,liberar identidade somente após o evento formal; conferir perfil vigência e estado antes de concluir,admission_owner,active
R0034,NA_NORTE,SUL,intern,termination,exigir decisão formal do responsável; conferir perfil vigência e estado antes de concluir,termination_owner,active
R0035,NA_SUL,NORTE,apprentice,identity,não conceder acesso por texto livre; conferir perfil vigência e estado antes de concluir,identity_owner,active
R0036,NA_SERVICOS,SUDESTE,employee,calendar,usar o calendário publicado da base; conferir perfil vigência e estado antes de concluir,calendar_owner,active
R0037,NA_NORTE,CENTRO_OESTE,intern,benefit,validar relação e dia elegível; conferir perfil vigência e estado antes de concluir,benefit_owner,active
R0038,NA_SUL,SUL,apprentice,timekeeping,não converter aprovação em processamento; conferir perfil vigência e estado antes de concluir,timekeeping_owner,needs_review
R0039,NA_SERVICOS,NORTE,employee,admission,não receber documento pessoal em chat; conferir perfil vigência e estado antes de concluir,admission_owner,active
R0040,NA_NORTE,SUDESTE,intern,termination,separar cálculo preliminar de fechamento; conferir perfil vigência e estado antes de concluir,termination_owner,active
R0041,NA_SUL,CENTRO_OESTE,apprentice,identity,registrar aprovação e confirmação por sistema; conferir perfil vigência e estado antes de concluir,identity_owner,active
